scorer,,,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse,valyriverse
bodyparts,,,Point1,Point1,Point2,Point2,Point3,Point3,Point4,Point4,Point5,Point5,Point6,Point6,Point7,Point7,Point8,Point8,Point9,Point9,Point10,Point10,Point11,Point11,Point12,Point12,Eye1,Eye1,Eye2,Eye2,Eye3,Eye3,Eye4,Eye4
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,210603112454-0,img000000.png,304.0767200612207,193.4456971306322,327.32432776201927,209.85577315472528,333.706023993611,239.0292416420019,328.69183409736036,270.02605190973327,304.9883909514481,291.9061532751907,278.09409968974,298.74368495189617,246.64145397689484,293.72949505564554,225.21718805655107,275.95191269621137,217.92382093473194,245.86677331870735,226.12885894677848,216.69330483143074,242.53893497087157,197.54821613665547,276.2707579092852,188.4315072343815,485.95506266158577,269.11438101950586,284.019960476218,323.81463443314954,146.3576560518815,257.2626594465498,276.2707579092852,171.56559576517475
labeled-data,210603112454-0,img000001.png,304.0767200612207,193.4456971306322,327.32432776201927,209.85577315472528,333.706023993611,239.0292416420019,328.69183409736036,270.02605190973327,304.9883909514481,291.9061532751907,278.09409968974,298.74368495189617,246.64145397689484,293.72949505564554,225.21718805655107,275.95191269621137,217.92382093473194,245.86677331870735,226.12885894677848,216.69330483143074,242.53893497087157,197.54821613665547,276.2707579092852,188.4315072343815,485.95506266158577,269.11438101950586,284.019960476218,323.81463443314954,146.3576560518815,257.2626594465498,276.2707579092852,171.56559576517475
labeled-data,210603112454-0,img000002.png,304.0767200612207,193.4456971306322,327.32432776201927,209.85577315472528,333.706023993611,239.0292416420019,328.69183409736036,270.02605190973327,304.9883909514481,291.9061532751907,278.09409968974,298.74368495189617,246.64145397689484,293.72949505564554,225.21718805655107,275.95191269621137,217.92382093473194,245.86677331870735,226.12885894677848,216.69330483143074,242.53893497087157,197.54821613665547,276.2707579092852,188.4315072343815,485.95506266158577,269.11438101950586,284.019960476218,323.81463443314954,146.3576560518815,257.2626594465498,276.2707579092852,171.56559576517475
labeled-data,210603112454-0,img000003.png,304.0767200612207,193.4456971306322,327.32432776201927,209.85577315472528,333.706023993611,239.0292416420019,328.69183409736036,270.02605190973327,304.9883909514481,291.9061532751907,278.09409968974,298.74368495189617,246.64145397689484,293.72949505564554,225.21718805655107,275.95191269621137,217.92382093473194,245.86677331870735,226.12885894677848,216.69330483143074,242.53893497087157,197.54821613665547,276.2707579092852,188.4315072343815,485.95506266158577,269.11438101950586,284.019960476218,323.81463443314954,146.3576560518815,257.2626594465498,276.2707579092852,171.56559576517475
labeled-data,210603112454-0,img000004.png,304.0767200612207,193.4456971306322,327.32432776201927,209.85577315472528,333.706023993611,239.0292416420019,328.69183409736036,270.02605190973327,304.9883909514481,291.9061532751907,278.09409968974,298.74368495189617,246.64145397689484,293.72949505564554,225.21718805655107,275.95191269621137,217.92382093473194,245.86677331870735,226.12885894677848,216.69330483143074,242.53893497087157,197.54821613665547,276.2707579092852,188.4315072343815,485.95506266158577,269.11438101950586,284.019960476218,323.81463443314954,146.3576560518815,257.2626594465498,276.2707579092852,171.56559576517475
labeled-data,210603112454-0,img006618.png,291.3133275980372,209.39993770961158,309.09090995747135,220.3399883923403,312.7375935183809,242.67592520291146,308.179239067244,266.8352037939374,294.9600111589467,281.4219380375757,273.99158068371673,284.6127861533716,248.92063120246334,277.31941903155246,237.52474507462094,265.92353290371,231.14304884302916,244.95510242847996,235.7014032941661,223.5308365081362,253.4789856536003,210.76744404495267,268.06571989723864,206.6649250389294,475.4708474239708,258.63016578189087,284.019960476218,316.9771027564441,131.3150863631295,239.4850770871156,277.63826424462627,156.06719063130902
labeled-data,210603112454-0,img006619.png,291.3133275980372,209.39993770961158,309.09090995747135,220.3399883923403,312.7375935183809,242.67592520291146,308.179239067244,266.8352037939374,294.9600111589467,281.4219380375757,273.99158068371673,284.6127861533716,248.92063120246334,277.31941903155246,237.52474507462094,265.92353290371,231.14304884302916,244.95510242847996,235.7014032941661,223.5308365081362,253.4789856536003,210.76744404495267,268.06571989723864,206.6649250389294,475.4708474239708,258.63016578189087,284.019960476218,316.9771027564441,131.3150863631295,239.4850770871156,277.63826424462627,156.06719063130902
labeled-data,210603112454-0,img006620.png,291.3133275980372,209.39993770961158,309.09090995747135,220.3399883923403,312.7375935183809,242.67592520291146,308.179239067244,266.8352037939374,294.9600111589467,281.4219380375757,273.99158068371673,284.6127861533716,248.92063120246334,277.31941903155246,237.52474507462094,265.92353290371,231.14304884302916,244.95510242847996,235.7014032941661,223.5308365081362,253.4789856536003,210.76744404495267,268.06571989723864,206.6649250389294,475.4708474239708,258.63016578189087,284.019960476218,316.9771027564441,131.3150863631295,239.4850770871156,277.63826424462627,156.06719063130902
labeled-data,210603112454-0,img006621.png,291.3133275980372,209.39993770961158,309.09090995747135,220.3399883923403,312.7375935183809,242.67592520291146,308.179239067244,266.8352037939374,294.9600111589467,281.4219380375757,273.99158068371673,284.6127861533716,248.92063120246334,277.31941903155246,237.52474507462094,265.92353290371,231.14304884302916,244.95510242847996,235.7014032941661,223.5308365081362,253.4789856536003,210.76744404495267,268.06571989723864,206.6649250389294,475.4708474239708,258.63016578189087,284.019960476218,316.9771027564441,131.3150863631295,239.4850770871156,277.63826424462627,156.06719063130902
labeled-data,210603112454-0,img006622.png,291.3133275980372,209.39993770961158,309.09090995747135,220.3399883923403,312.7375935183809,242.67592520291146,308.179239067244,266.8352037939374,294.9600111589467,281.4219380375757,273.99158068371673,284.6127861533716,248.92063120246334,277.31941903155246,237.52474507462094,265.92353290371,231.14304884302916,244.95510242847996,235.7014032941661,223.5308365081362,253.4789856536003,210.76744404495267,268.06571989723864,206.6649250389294,475.4708474239708,258.63016578189087,284.019960476218,316.9771027564441,131.3150863631295,239.4850770871156,277.63826424462627,156.06719063130902
labeled-data,210603112454-0,img008424.png,280.37327691530845,173.38893754562952,310.9142517379262,194.35736802085958,326.4126568717918,229.00086184950055,323.221808755996,265.92353290371,300.8858719454248,294.6411659458729,255.30232743405512,308.3162292992838,217.92382093473194,299.1995203970099,194.6762132339334,281.4219380375757,183.28032710609097,245.86677331870735,187.83868155722794,217.14914027654444,211.08628925802648,183.87315278324456,246.18561853178116,171.109760320061,480.94087276533514,265.4676974585963,269.4332262325797,352.07643203019876,111.71416222324052,255.89515311120869,269.4332262325797,138.28960827187484
labeled-data,210603112454-0,img008425.png,280.37327691530845,173.38893754562952,310.9142517379262,194.35736802085958,326.4126568717918,229.00086184950055,323.221808755996,265.92353290371,300.8858719454248,294.6411659458729,255.30232743405512,308.3162292992838,217.92382093473194,299.1995203970099,194.6762132339334,281.4219380375757,183.28032710609097,245.86677331870735,187.83868155722794,217.14914027654444,211.08628925802648,183.87315278324456,246.18561853178116,171.109760320061,480.94087276533514,265.4676974585963,269.4332262325797,352.07643203019876,111.71416222324052,255.89515311120869,269.4332262325797,138.28960827187484
